File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2351,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(buf->mem + *write, data, buf->size - *write);",bc84101455896e878bc38478d5eb71490adb8cb3c5810274d8657fcd6a21e552,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2352,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(buf->mem, data + buf->size - *write, size - buf->size + *write);",2e8add64a639547b25add2ee9d00edf724cf068a8c4548545a6640d7c4b51646,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2367,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(data, buf->mem + *read, size);",243dd9ad937d28c8e2a949c22fe6df1b2e77f463db77c851b23c35c527d1db07,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2372,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(data, buf->mem + *read, buf->size - *read);",12ff276132aacbecab521e26a7994999ac21d2124a5adef3f020461189e0332e,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2373,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(data + buf->size - *read, buf->mem, size - buf->size + *read);",de261198a249ccaab55ca3ef851bbf1f066a14fd61c68a726af2ebe13370e14c,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2429,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(new_ptr + sizeof(DltBufferHead), buf->mem + head->read, head->write - head->read);",832870ddff26c24c4a9dccdd31309c1ba6e7338ee1b3145fdae2042f85f993a2,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2435,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(new_ptr + sizeof(DltBufferHead), buf->mem + head->read, buf->size - head->read);",ab3f54f071da9a7c7fe59daee70df372e1b15510ee89acec1289b8129a8efdcf,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2436,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(new_ptr + sizeof(DltBufferHead) + buf->size - head->read, buf->mem, head->write);",1d8fa0c8f5d961165244aa1b3d474e77a2cd1b2f7cc2af176409d38a3c7eaf30,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,3309,13,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"            char binary[10] = { '\0' }; /* e.g.: ""0b1100 0010"" */",7624ac4151d98311783378010bfa3052aee3e4b79591f6e28aa0c69bdf21f477,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,3328,13,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"            char binary[20] = { '\0' }; /* e.g.: ""0b1100 0010 0011 0110"" */",b4342cc1cc7a125fb380fbd378149e22823dab536f03060908579b33f5dc0ae5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,3659,17,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"                memcpy(&value32f_tmp_int32i, &value32f_tmp, sizeof(float32_t));",0e9f0f28326bd7607757cdb0f39e0e05cd0194f181af422273e6455c50daccef,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,3662,17,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"                memcpy(&value32f, &value32f_tmp_int32i_swaped, sizeof(float32_t));",fa473ff1793e4bbb767dcd61bccabd2563bb97a821e5fc913aff92db4247af35,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
